Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.schema:instrument[schema:additionalType='EPMA'].ada:acceleratingVoltageDefault,authored,divergent,divergence decision applied,
Accelerating Voltage,Basic,Editable,Numeric (kV),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='EPMA'].schema:additionalProperty[schema:name='Accelerating Voltage'].schema:value,inferred,divergent,tier rule: analysis value is an additionalProperty on the instrument,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,dual-home decision: protocol default,
Acquisition Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,dual-home decision: analysis-tier value,
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,authored,shared,dual-home decision: protocol default,
Additional Notes,Advanced,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:description,authored,shared,dual-home decision: analysis-tier value,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,shared,,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,shared,,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,shared,,
Analyte,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:defaultAnalytes[],authored,shared,,defines: analyte
Analyte Estimation Method,Advanced,Read-Only,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,triage decision (reviewer),analyte
Analytical Accuracy,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,per-element in electron-beam techniques; ICP-MS keeps the per-run scalar,standard x reported property
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],inferred,shared,,
Analytical Precision,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,per-element in electron-beam techniques; ICP-MS keeps the per-run scalar,standard x reported property
Background Correction Method,Basic,Editable,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,divergence decision applied,
Background Counting Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,shared,,channel
Background Position(s),Advanced,Editable,Text (free),$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,shared,,channel
Beam Current,Basic,Editable,Numeric (nA),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,sample > sampling unit
Beam Damage Minimization,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:defaultValue,inferred,shared,,sample > sampling unit
Beam Damage Minimization,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:value,inferred,shared,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,sample > sampling unit
Beam Diameter,Basic,Editable,Numeric (um),$MethodDefinition.schema:instrument[schema:additionalType='EPMA'].ada:beamDiameterDefault,authored,divergent,divergence decision applied,
Beam Diameter,Basic,Editable,Numeric (um),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='EPMA'].schema:additionalProperty[schema:name='Beam Diameter'].schema:value,authored,divergent,tier rule: analysis value is an additionalProperty on the instrument,
Beam Mode,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='EPMA'].ada:beamMode,authored,divergent,,
Beam Raster Dimensions,Advanced,Editable,Numeric pair (um x um),$MethodDefinition.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:defaultValue,authored,shared,divergence decision applied,
Beam Raster Dimensions,Advanced,Editable,Numeric pair (um x um),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:value,inferred,shared,dual-home counterpart (tier matrix),
